germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X949a8a204d5f	Durum wheat	GRS011-0276	21260404	GRS011-0276-1M-2SEA	2101742	GWP2101742
X94a52cf5599b	Bread wheat	GRSW170042	21120066	GRSW170042-M0-M0-M1-M1	2100313	GWP2100313
X94ccbfca8d16	Durum wheat	GRS011-0265	21140387	GRS011-0265 1T-1A-0A-2M-2M	2101116	GWP2101116
X94d0ad04b5e6	Durum wheat	GRS011-0200	21140262	GRS011-0200 1T-3A-0A-3M-2M	2100930	GWP2100930
X94f97a2164b3	Durum wheat	GRS011-0195	21140241	GRS011-0195 1T-2A-0A-2M-5M	2100901	GWP2100901
X951228b86009	Durum wheat	GRS011-0264	21140385	GRS011-0264 1T-4A-0A-2M-2M	2101112	GWP2101112
X95300776987e	Bread wheat	GRSW170048	21120074	GRSW170048-M0-M0-M2-M2	2100330	GWP2100330
X9559ed86e1e7	Bread wheat	GRSW170057	21120099	GRSW170057-M0-M0-M1-M8	2100404	GWP2100404
X955b488193b2	Durum wheat	GRS011-458	21140560	GRS011-458 1T-2A-0A-1M-2M	2101375	GWP2101375
X955dbe9b8bc9	Durum wheat	GRS011-083	21140083	GRS011-083-2M-1M	2100679	GWP2100679
X956bf9a7c5ad	Durum wheat	GRS011-463	21140606	GRS011-463 1T-1A-0A-1M-1M	2101448	GWP2101448
X95a5bc1a865e	Durum wheat	GRS011-458	21140563	GRS011-458-2M-3M	2101389	GWP2101389
X95c6abb09288	Durum wheat	GRS011-0264	21140385	GRS011-0264 1T-4A-0A-2M-3M	2101113	GWP2101113
X95db06ff7e9d	Triticum turgidum subsp. carthlicum	45137	-	-	2101855	GWP2101855
X95eb2e620221	Bread wheat	GRS18-7003	Repl-7	GRS18-7005-8SB-M1-AN1	2100343	GWP2100343
X96050471c70e	Bread wheat	TCI19-7007	2111022	TCI19-7007-M0-M4	2100171	GWP2100171
X9607e2e9ef1d	Durum wheat	GRS011-348	21140463	GRS011-348-2M-2M	2101213	GWP2101213
X9645812c288c	Durum wheat	GRSW170046	21120069	GRSW170046-M0-M0-M1-M2	2100319	GWP2100319
X966a88f5b294	Durum wheat	GRS011-0263	21260541	GRS011-0263 1T-2A-0A-1M-1SEA	2101806	GWP2101806
X96e50363a30a	Durum wheat	GRS011-0197	21140249	GRS011-0197-4M-2M	2100914	GWP2100914
X9720e7627c32	Durum wheat	GRS011-0276	21260407	GRS011-0276 1T-5A-0A-2M-2SEA	2101752	GWP2101752
X972137465f0d	Durum wheat	GRS011-0138	21140141	GRS011-0138-1M-1M	2100736	GWP2100736
X97436bc076eb	Durum wheat	GRS011-0202	21140265	GRS011-0202-2M-1M	2100933	GWP2100933
X9790420aa601	Bread wheat	GRSW170083	Repl-32	GRSW170083-M0-M0-M2-AN1	2100374	GWP2100374
X979b13a0b55b	Durum wheat	MMVT21-23	Repl-58	ICDTR(f2)14-0311-0ST-010TR-0ST-1TR-0ST-1TR-0STR-0AREC	2100453	GWP2100453
X97d144ec6239	Bread wheat	GRSW170041	Repl-12	GRS18-7001-3SB-M1-AN1	2100348	GWP2100348
X97dc052a2596	Durum wheat	-	2115009	0-1M-2M	2101461	GWP2101461
X97f77c584ecb	Durum wheat	GRS011-0272	21140395	GRS011-0272 1T-2A-0A-2M-1M	2101124	GWP2101124
X982eff2aa6fa	Durum wheat	GRS011-016	21140015	GRS011-016-3M-1M	2100629	GWP2100629
X98cb47f67cf0	Bread wheat	GRSW170050	21120079	GRSW170050-M0-M0-M3-M1	2100335	GWP2100335
X98cc37fdd16c	Durum wheat	GRS011-462	21140565	GRS011-462 1T-1A-0A-2M-2M	2101396	GWP2101396
